"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-121.51","53.07","BARKERVILLE","1090660","2010-01-01","2010","01","01","†","0.0","","-17.0","","-8.5","","26.5","","0.0","","0.0","","5.0","","5.0","","87","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-02","2010","01","02","†","0.0","","-6.0","","-3.0","","21.0","","0.0","","0.0","","7.0","","7.0","","92","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-03","2010","01","03","†","-4.0","","-11.0","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","95","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-04","2010","01","04","†","-9.5","","-19.5","","-14.5","","32.5","","0.0","","0.0","","0.0","","0.0","","95","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-05","2010","01","05","†","-15.0","","-23.5","","-19.3","","37.3","","0.0","","0.0","","0.0","","0.0","","92","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-06","2010","01","06","†","-9.0","","-22.5","","-15.8","","33.8","","0.0","","0.0","","0.0","","0.0","","86","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-07","2010","01","07","†","-0.5","","-16.0","","-8.3","","26.3","","0.0","","0.0","","1.0","","1.0","","85","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-08","2010","01","08","†","1.0","","-8.0","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","85","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-09","2010","01","09","†","4.0","","-5.0","","-0.5","","18.5","","0.0","","0.6","","0.0","","0.6","","84","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-10","2010","01","10","†","5.5","","-1.5","","2.0","","16.0","","0.0","","0.8","","0.0","","0.8","","84","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-11","2010","01","11","†","6.0","","1.0","","3.5","","14.5","","0.0","","2.0","","0.0","","2.0","","82","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-12","2010","01","12","†","6.0","","1.0","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","80","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-13","2010","01","13","†","2.5","","-5.0","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","80","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-14","2010","01","14","†","3.0","","-3.0","","0.0","","18.0","","0.0","","0.0","","1.0","","1.0","","78","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-15","2010","01","15","†","1.0","","-1.0","","0.0","","18.0","","0.0","","0.0","","9.0","","9.0","","78","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-16","2010","01","16","†","-2.0","","-12.0","","-7.0","","25.0","","0.0","","0.0","","1.0","","1.0","","86","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-17","2010","01","17","†","3.0","","-12.0","","-4.5","","22.5","","0.0","","0.0","","2.0","","2.0","","85","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-18","2010","01","18","†","4.0","","-8.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","84","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-19","2010","01","19","†","-4.0","","-9.0","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","84","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-20","2010","01","20","†","5.0","","-8.5","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","84","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-21","2010","01","21","†","1.0","","-8.0","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","83","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-22","2010","01","22","†","-2.0","","-10.0","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","82","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-23","2010","01","23","†","-5.0","","-16.0","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","82","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-24","2010","01","24","†","-5.0","","-19.0","","-12.0","","30.0","","0.0","","0.0","","2.0","","2.0","","82","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-25","2010","01","25","†","0.0","","-15.0","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","84","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-26","2010","01","26","†","-1.0","","-8.0","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","84","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-27","2010","01","27","†","2.0","","-8.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","82","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-28","2010","01","28","†","3.5","","-9.0","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","82","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-29","2010","01","29","†","5.0","","-5.5","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","82","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-30","2010","01","30","†","1.0","","-4.0","","-1.5","","19.5","","0.0","","1.5","","9.5","","11.0","","80","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-01-31","2010","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-02-01","2010","02","01","†","-1.0","","-4.5","","-2.8","","20.8","","0.0","","0.0","","3.0","","3.0","","91","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-02-02","2010","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-02-03","2010","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-02-04","2010","02","04","†","2.5","","-5.5","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","92","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-02-05","2010","02","05","†","2.0","","-9.0","","-3.5","","21.5","","0.0","","0.0","","0.0","T","0.0","T","91","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-02-06","2010","02","06","†","3.0","","-10.0","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","91","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-02-07","2010","02","07","†","4.0","","-10.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","90","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-02-08","2010","02","08","†","3.5","","-10.0","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","90","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-02-09","2010","02","09","†","0.0","","-13.0","","-6.5","","24.5","","0.0","","0.0","","1.0","","1.0","","90","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-02-10","2010","02","10","†","2.5","","-7.0","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","90","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-02-11","2010","02","11","†","2.0","","-10.0","","-4.0","","22.0","","0.0","","0.0","","1.0","","1.0","","89","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-02-12","2010","02","12","†","5.0","","-4.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","90","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-02-13","2010","02","13","†","6.0","","-7.0","","-0.5","","18.5","","0.0","","0.6","","0.0","","0.6","","89","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-02-14","2010","02","14","†","4.0","","-2.5","","0.8","","17.2","","0.0","","2.5","","2.5","","5.0","","88","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2010-02-15","2010","02","15","†","3.0","","-10.0","","-3.5","","21.5","","0.0","","0.0","","1.5","","1.5","","89","","","","",""
